bar_open_ns,known_at_ns,previous-18:00 / HLC3,previous-18:00 / close,previous-18:00 / OHLC4,previous-18:00 / native-trades,midnight-00:00 / HLC3,midnight-00:00 / close,midnight-00:00 / OHLC4,midnight-00:00 / native-trades,london-02:00 / HLC3,london-02:00 / close,london-02:00 / OHLC4,london-02:00 / native-trades,cash-09:30 / HLC3,cash-09:30 / close,cash-09:30 / OHLC4,cash-09:30 / native-trades
1771917420000000000,1771917480000000000,24831.83906833663,24832.28277521424,24831.740553724456,24831.61494396836,24849.39726211107,24849.51671205744,24849.454560225302,24849.28964471404,24852.703917050694,24853.34158986175,24852.33453341014,24852.511520737327,,,,
1771917480000000000,1771917540000000000,24831.853581528518,24832.297649786582,24831.754791985033,24831.62898508721,24849.402399161205,24849.524700875787,24849.457852781547,24849.29215492784,24852.663160530934,24853.30691209617,24852.291838842975,24852.456611570247,,,,
1771917540000000000,1771917600000000000,24831.867544321572,24832.310966298053,24831.7686940495,24831.642956819374,24849.41150252058,24849.531814828475,24849.466179454077,24849.30093446453,24852.655244411697,24853.277081798085,24852.287444731024,24852.448599852614,,,,
1771917600000000000,1771917660000000000,24831.883759525754,24832.32620820289,24831.7851937597,24831.659361763697,24849.42038216559,24849.53738975992,24849.47580077168,24849.310264576186,24852.63502641691,24853.226224783863,24852.281024855907,24852.433177233426,,,,
1771917660000000000,1771917720000000000,24831.912008335963,24832.353045865293,24831.81387090207,24831.687230744985,24849.42960102176,24849.542330616714,24849.485935409317,24849.316932246686,24852.560668973474,24853.108823529412,24852.22802768166,24852.347923875433,,,,
1771917720000000000,1771917780000000000,24831.921029599678,24832.36174053458,24831.82279085491,24831.696732395103,24849.433031921337,24849.544969049643,24849.488560504917,24849.32233887608,24852.54146730463,24853.07980177717,24852.209073820915,24852.341079972655,,,,
1771917780000000000,1771917840000000000,24831.940526766673,24832.38151028008,24831.842833774783,24831.7162947131,24849.42553812109,24849.54055522028,24849.482724803864,24849.314514182257,24852.405566600402,24852.94781312127,24852.09410205434,24852.206096752816,,,,
1771917840000000000,1771917900000000000,24831.96077493997,24832.40248199083,24831.862652259333,24831.736437459072,24849.428073967323,24849.5480907781,24849.482491294428,24849.315982228625,24852.33660867698,24852.893846649484,24852.020497744845,24852.13385953608,,,,
1771917900000000000,1771917960000000000,24831.967827529024,24832.409393820373,24831.869751571092,24831.743571615607,24849.428952415183,24849.548903272203,24849.48330936114,24849.3170322426,24852.3134439481,24852.866145500957,24852.000558391832,24852.11247606892,,,,
1771917960000000000,1771918020000000000,24831.977225537412,24832.418740839614,24831.878999489636,24831.753029470266,24849.434308097105,24849.554718335126,24849.487650998686,24849.32241956704,24852.308937960046,24852.859148264983,24851.994873817035,24852.109148264983,,,,
1771918020000000000,1771918080000000000,24832.011136813126,24832.45450743616,24831.911819767898,24831.785795499098,24849.482703281014,24849.613498573468,24849.530165240132,24849.36492510699,24852.468164221682,24853.058374083128,24852.135314792176,24852.240831295843,,,,
1771918080000000000,1771918140000000000,24832.076868415563,24832.5195968499,24831.977008253365,24831.8522608741,24849.59630239578,24849.727473238443,24849.639777673216,24849.480708151983,24852.87396135266,24853.442318840578,24852.54108695652,24852.66304347826,,,,
1771918140000000000,1771918200000000000,24832.119187408873,24832.562135492604,24832.01951579098,24831.894514163716,24849.66337655257,24849.79771638827,24849.706693143326,24849.54672351361,24853.085480859012,24853.654341736696,24852.764495798318,24852.872689075633,,,,
1771918200000000000,1771918260000000000,24832.143992802638,24832.58664151925,24832.044213384495,24831.9196475026,24849.709007331534,24849.843157220996,24849.751309205167,24849.59341906203,24853.241010823705,24853.801320858558,24852.921642817833,24853.034947716013,,,,
1771918260000000000,1771918320000000000,24832.181896126167,24832.62536049261,24832.08242939541,24831.9565005586,24849.7782245622,24849.91775630641,24849.821113457532,24849.657342050446,24853.468828152912,24854.042872454447,24853.161676045016,24853.240621650588,,,,
1771918320000000000,1771918380000000000,24832.232404596987,24832.676330194307,24832.13186499598,24832.0075621968,24849.88470306512,24850.0283045977,24849.921889367815,24849.765574712645,24853.839050589053,24854.4183991684,24853.51666450104,24853.622011434512,,,,
1771918380000000000,1771918440000000000,24832.266724538535,24832.707768650722,24832.167487237955,24832.04357233552,24849.947344845972,24850.079740393412,24849.98958571592,24849.835144098808,24854.028963414636,24854.548780487807,24853.73707444106,24853.84489329268,,,,
1771918440000000000,1771918500000000000,24832.29792933868,24832.73685777145,24832.199184677105,24832.075365601137,24849.996007813672,24850.12064747383,24850.039706133364,24849.885838643604,24854.152253147782,24854.62972166998,24853.874037027832,24853.978628230616,,,,
1771918500000000000,1771918560000000000,24832.336929278314,24832.775251285497,24832.239667579648,24832.115326477353,24850.034551238597,24850.158882990738,24850.083669810254,24849.927744522247,24854.18447224896,24854.649422521656,24853.9395753128,24854.02718960539,,,,
1771918560000000000,1771918620000000000,24832.348716094657,24832.78617359192,24832.251675360898,24832.12739844537,24850.042107931487,24850.16344637224,24850.091827681386,24849.936260703016,24854.172936507937,24854.621666666666,24853.933660714287,24854.02023809524,,,,
1771918620000000000,1771918680000000000,24832.36481017993,24832.801256579627,24832.267798856952,24832.14400995975,24850.046582107967,24850.16469300707,24850.095886182513,24849.94255808733,24854.127715268012,24854.557899671825,24853.89117440225,24853.983356774497,,,,
1771918680000000000,1771918740000000000,24832.381253437135,24832.817913487317,24832.284428812643,24832.16016188905,24850.046730016755,24850.16704863052,24850.096254891,24849.9409726104,24854.060588596898,24854.49469801752,24853.82970262794,24853.909751037343,,,,
1771918740000000000,1771918800000000000,24832.394228209818,24832.830001803148,24832.297569292394,24832.173424177636,24850.045771116547,24850.163277245374,24850.095539893024,24849.940884778247,24854.00371549894,24854.42220200182,24853.77752502275,24853.857029117375,,,,
1771918800000000000,1771918860000000000,24832.407287296563,24832.842290170644,24832.31086241732,24832.18671016395,24850.039390406382,24850.15470242061,24850.08964856762,24849.935071063734,24853.9211509716,24854.326457399104,24853.700896860988,24853.777354260088,,,,
1771918860000000000,1771918920000000000,24832.420316692816,24832.855546410843,24832.323556171395,24832.199654072683,24850.040818020796,24850.1580971884,24850.089176998008,24849.93577042285,24853.878727487456,24854.288308237377,24853.654229406555,24853.73250664305,,,,
1771918920000000000,1771918980000000000,24832.429576650215,24832.86405639523,24832.333193566214,24832.20947074851,24850.03584704279,24850.150712156345,24850.08545876118,24849.93289720658,24853.820290808126,24854.217338886454,24853.603518193773,24853.682814555017,,,,
1771918980000000000,1771919040000000000,24832.466124851864,24832.88817556334,24832.37875348492,24832.247889863673,24849.82297297296,24849.89197297297,24849.90762837838,24849.725486486488,24852.72914982485,24852.93270008084,24852.664182497978,24852.614793856104,,,,
1771919040000000000,1771919100000000000,24832.471079407213,24832.893299219028,24832.385253432698,24832.25329870859,24849.685725763244,24849.758650241027,24849.775301285485,24849.58904659882,24852.13195258565,24852.345349745996,24852.089903282533,24852.021101992967,,,,
1771919100000000000,1771919160000000000,24832.47565173471,24832.89407135763,24832.390507614535,24832.258977003592,24849.549451521572,24849.609686836517,24849.640286624202,24849.45628980892,24851.567795007566,24851.731467473524,24851.53446482602,24851.46993192133,,,,
